ID,Name,Sector,From Municipality,To Municipality,Location,Geometry,Cost,Stage,Schedule,Website,Related Links,Developer,Recently Added,Construction Contractor,Image Filename,Image Source,Details
2,Keyano Theatre Expansion,Institutional,Regional Municipality of Wood Buffalo,,"(56.7130012512207, -111.347999572754)",,$40000000.00,Announced,,http://woodbuffalo.siretechnologies.com/sirepub/cache/2/b1i0ps55ceidn555agfpgivv/474030225201510372411.PDF,"[{""url"":""http://www.fortmcmurraytoday.com/2014/10/23/keyano-college-seeking-funding-from-municipality-for-theatre-expansion"",""text"":""Oct 23, 2014 - Fort McMurray Today""}]",Keyano College,false,,,,Keyano is planning on building capacity for a 1200 seat theatre in their Arts Centre to help the Wood Buffalo region in attracting diverse productions.
3,Regional Water Project Phase 1,Infrastructure,Wheatland County,,"(56.712947845459, -111.350059509277)",,$10000000.00,Announced,,,"[{""url"":""http://www.drumhellermail.com/news/news-drumheller/14226-multi-million-dollar-regional-water-project-set-to-go"",""text"":""Jul 30, 2014 - Drumheller Mail""}, {""url"":""http://www.strathmorestandard.com/2014/10/29/county-council-to-go-ahead-with-rural-water-project"",""text"":""Oct 29, 2014 - Strathmore Standard""}]",Wheatland Regional Water Partnership,false,,,,"Regional water project for Standard, Rosebud, Rockyford, Gleichen and Hussar. Phase 1 is Standard to Rockyford."
4,Hangingstone SAGD Commercial Production Project,Oil Sands,Regional Municipality of Wood Buffalo,,"(56.496768951416, -111.595970153809)",,$774000000.00,Under Construction,2013 - 2016,http://www.jacos.com/Business/Pages/Current-Development.aspx,"[{""url"":""http://www.calgaryherald.com/business/Pipeline+deal+inked+Hangingstone+project/8964582/story.html"",""text"":""Sept 25, 2013 - Calgary Herald""}]",Japan Canada Oil Sands Limited (JACOS) / Nexen Inc.,false,,,,"The Hangingstone Steam Assisted Gravity Drainage Expansion Project will develop an area adjacent to the current Demonstation Project by JACOS and Nexen Energy ULC. The initial stage will result in bitumen production capacity of around 20,000 barrels per day, with room for an additional 10,000 bpd expansion after operations begin."
13,North West Bitumen Upgrader Phase 1,Oil Sands,Redwater,,"(53.9490013122559, -113.107002258301)",,$8500000000.00,Under Construction,2013 - 2017,www.northwestupgrading.com or www.nwrpartnership.com,"[{""url"":""http://www.dailyoilbulletin.com/article/2014/6/19/north-west-redwater-refinery-17-cent-completed/"",""text"":""Jun 19, 2014 - Daily Oil Bulletin""}]",North West Redwater Partnership (Canadian Natural Resources Ltd. (CNRL) / North West Upgrading Inc.),false,"EPC SNC-Lavalin, PCL Industrial Management.",https://farm8.staticflickr.com/7603/16904711796_8c0917f0fb_b.jpg,"North West Bitumen Upgrader Phase 1, courtesy of North West Redwater Partnership.","Commenced construction of Phase 1 of a three phase, 150,000 barrels per day bitumen blend refinery that will produce diesel, diluent and other products for the Alberta and world markets. Site modules and mechanical work 2014 - 2015."
14,Fort Hills Oil Sands Mine,Oil Sands,Regional Municipality of Wood Buffalo,,"(57.4408378601074, -111.570137023926)",,$13500000000.00,Under Construction,2013 - 2017,http://forthills.suncor.com/,"[{""url"":""http://business.financialpost.com/2013/10/31/suncor-energy-fort-hills/?__lsa=b0aa-348e"",""text"":""Oct 31, 2013 - Financial Post ""}]",Fort Hills Energy Corp. (Suncor Energy Inc. / Total SA / Teck Cominco),false,Aecon Group.,,,Corporate approval October 2013. Site development by Aecon Group. EPC utilities Fluor Canada.
17,Chinook Regional Hospital,Institutional,Lethbridge,,"(49.6860427856445, -112.81510925293)",,$127800000.00,Under Construction,2012 - 2015,http://www.infrastructure.alberta.ca/documents/0821__Lethbridge_RH_Fact_Sheet_%28Final%29.pdf,"[{""url"":""http://alberta.ca/release.cfm?xID=33126755B04D8-9FF2-1E50-F8A28225B7639F0F"",""text"":""Oct 18, 2012 - Alberta Government""}, {""url"":""http://www.albertahealthservices.ca/cp/ahs-cp-chinook-community-update-winter-2014.pdf"",""text"":""Winter 2014 - Alberta Health Services""}]",Alberta Infrastructure,false,Stuart Olson Dominion Construction,,,"This redevelopment includes a 5-storey addition of approximately 19,000 square metres to provide improved access to outpatient services, specialized care, and emergency services."
20,Canadian Diluent Hub Phase 1,Oil Sands,Strathcona County,,"(53.8215217590332, -113.130630493164)",,$350000000.00,Announced,2016 - 2017,http://www.pembina.com/about-us/projects/,"[{""url"":""http://www.theglobeandmail.com/globe-investor/news-sources/?mid=cnw.20141009.C7404"",""text"":""Oct 9, 2014 - The Globe and Mail""}]",Pembina Pipeline Corp.,false,,,,"The Canadian Diluent Hub will be a large-scale condensate and diluent terminal at the Heartland Terminal site near Fort Saskatchewan. The first phase will include 600,000 barrels of above ground storage with multiple pipeline connections and pumping and metering facilities."
21,Sage Place Building 2,Residential,Calgary,,"(51.1620407104492, -114.160911560059)",,$21000000.00,Under Construction,2014 - 2015,http://www.buzzbuzzhome.com/sage-place-building-22,"[{""url"":""http://www.condolivingonline.com/calgary/articles/5233/a-place-in-the-sun"",""text"":""Jan 1, 2014 - condoliving""}]",Cardel Lifestyles,false,,,,Sage Place 2 is a 48 unit low-rise condominium under construction in Calgary with expected completion in August 2015.
22,Medicine Hat Regional Hospital Redevelopment,Institutional,Medicine Hat,,"(50.0354156494141, -110.702163696289)",,$220000000.00,Under Construction,2012 - 2016,http://www.albertahealthservices.ca/5805.asp,"[{""url"":""http://www.prairiepost.com/news/alberta/item/1134-construction-firm-selected-for-medicine-hat-hospital-redevelopment.html"",""text"":""Jul 5, 2011 - Prairie Post""}, {""url"":""http://www.albertahealthservices.ca/assets/about/capitalprojects/ahs-cp-winter-update-2015-mhrh.pdf"",""text"":""Winter 2014/15 - Alberta Health Services""}]",Alberta Infrastructure,false,Stuart Olson Dominion Construction,,,"This 30,800 square metre redevelopment work will focus on a new building to replace the Dr Dan MacCharles Auxiliary wing, which was built in 1962."
23,Gilead Research and Development Lab,Other Sectors,Edmonton,,"(53.5709991455078, -113.356002807617)",,$50000000.00,Announced,2014 - 2016,http://manascisaac.com/work/gilead-sciences-new-laboratory/,"[{""url"":""http://blogs.edmontonjournal.com/2014/10/20/biotech-giant-gilead-sciences-expanding-in-edmonton-with-2nd-city-lab/"",""text"":""Oct 20, 2014 - Edmonton Journal""}]",Gilead Alberta,false,Graham Construction,,,"Located on a 10-acre site in northeast Edmonton, this 6500 square metre cutting edge laboratory will contain labs and lab support spaces, offices and meeting spaces."
