PROJECT_ID,PROJECT_NAME,PROJECT_DESCRIPTION,ESTIMATED_COST,UPDATE_ACTIVITY,ENVIRONMENTAL_ASSESSMENT_STAGE,CONSTRUCTION_TYPE,CONSTRUCTION_SUBTYPE,PROJECT_TYPE,REGION,MUNICIPALITY,DEVELOPER,ARCHITECT,PROJECT_STATUS,PROJECT_STAGE,PROJECT_CATEGORY_NAME,PUBLIC_FUNDING_IND,PROVINCIAL_FUNDING,FEDERAL_FUNDING,MUNICIPAL_FUNDING,OTHER_PUBLIC_FUNDING,GREEN_BUILDING_IND,GREEN_BUILDING_DESC,CLEAN_ENERGY_IND,INDIGENOUS_IND,INDIGENOUS_NAMES,INDIGENOUS_AGREEMENT,CONSTRUCTION_JOBS,OPERATING_JOBS,STANDARDIZED_START_DATE,STANDARDIZED_COMPLETION_DATE,LATITUDE,LONGITUDE,LATITUDE_DMS,LONGITUDE_DMS,TELEPHONE,PROJECT_WEBSITE,FIRST_ENTRY_DATE,LAST_UPDATE
4861,École La Vallée,"New school with spaces for 20 kindergarten, 125 elementary and 75 secondary students. A Neighbourhood Learning Centre will be included in the project.",78,New proposed project,,Institutional,Education,Educational Services,2. Mainland/Southwest,Pemberton,School District 93 (Conseil Scolaire Francophone),,Proposed,,Public Services,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q2,2027-Q3,,,,,(604) 214-2601,,2025-03-01,2025-03-01
4884,Baptiste Nickel Project,"Proposed nickel mine that would have a 29-year mine life with an estimated 59,100 tonnes/yr. A process plant will be considered in future phases. Feasibility Study is expected to complete in 2027.",2970,New proposed project,,Industrial,Mining,Mining,7. Nechako,Fort St. James Area,FPX Nickel Corp.,,Proposed,Preliminary/Feasibility,Mining & Oil & Gas Extraction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,2028-Q1,2030-Q4,,,,,,,2025-03-01,2025-03-01
4853,Juene Landing - 1L130 to 25kV Conversion with Neutral Conductor and Bypass (VI-PHY-008) Project,This project is required to convert the 138kV transmission line (1L130) to 25kV and complete circuit reconfiguration to supply the Village of Port Alice and customers.,19,Project started construction,,Infrastructure,Utilities,Utilities,1. Vancouver Island/Coast,Port Alice,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2025-Q3,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2025-03-01,2025-03-01
4854,Anahim Lake - Station Upgrades for Renewable Energy Integration Project,"This project is required to upgrade the Anahim Lake station with a battery energy storage system, microgrid control system, and other associated equipment required to integrate solar power to help offset diesel generation.",44,Project started construction,,Infrastructure,Utilities,Utilities,6. North Coast,Anahim Lake,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2026-Q4,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2025-03-01,2025-03-01
4855,Mica - U1 - U4 Circuit Breaker and Iso-phase Bus Replacement Project,"This project is to address reliability risks at the Mica Creek Generating Station by replacing the aging and obsolete unit 1 to 4 generator circuit breakers, isolated phase buses and other ancillary equipment.",176,Project started construction,,Infrastructure,Utilities,Utilities,3. Thompson-Okanagan,Revelstoke,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2028-Q4,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2025-03-01,2025-03-01
4856,Kimberley to Marysville - Substation Relocation Project,"This project is to address the reliability, safety, and environmental risks associated with three bulk oil circuit breakers and other station assets at Kimberley substation which have reached their end-of-life.",73,Project started construction,,Infrastructure,Utilities,Utilities,4. Kootenay,Kimberley,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2027-Q4,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2025-03-01,2025-03-01
4857,2L143 - Cable Replacement Project,"This project is to address reliability, environmental, and seismic risks associated with the existing transmission cable 2L143 between Horsey substation and Esquimalt substation and to address load growth.",100,Project started construction,,Infrastructure,Utilities,Utilities,1. Vancouver Island/Coast,Victoria,BC Hydro,,Construction started,,Utilities (incl sewage treatment),TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,,,,2025-Q1,2026-Q3,,,,,(604) 623-4472   Toll Free: 1-866-647-3334,,2025-03-01,2025-03-01
4858,Saanich Operations Centre Redevelopment,Proposed project to redevelop the operations centre to expand the services for an increasing population. The facilities will achieve improved energy performance and efficiency,,New proposed project,,Institutional,Government buildings,Public Administration,1. Vancouver Island/Coast,Saanich,District Central Saanich,,Proposed,Consultation/Approvals,Public Services,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2026-Q4,2029-Q1,,,,,(250) 652-4444,,2025-03-01,2025-03-01
4860,Neighbourhood House Affordable Housing,A new 179-unit housing and community services facility including childcare and food bank services.  The City of North Vancouver will provide $49.5 million and BC Builds will provide $24.5 million for the project.,74,New proposed project,,Residential,Primarily residential - Single use,Social Housing,2. Mainland/Southwest,North Vancouver,City of North Vancouver/ Catalyst Community Development Society,,Proposed,Tender/Preconstruction,Residential/Commercial,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,,,,,2025-Q2,2028-Q2,,,,,,,2025-03-01,2025-03-01
4883,Highway 1 Goldstream Safety Improvements,To design and construct 1.5km of median barrier separation along the Hwy 1 Malahat corridor generally between Finlayson Arm Rd and the Goldstream River Bridge within Goldstream Provincial Park.,162,,,Infrastructure,Roads & Highways,Transportation,1. Vancouver Island/Coast,Goldstream,BC Ministry of Transportation and Transit,,Construction started,,Transportation & Warehousing,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,2030-Q1,,,,,(250) 356-1861,,2025-03-01,2025-03-01
