Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
2596351 Ontario Ltd.,Epping Forest Trailer Park,50 - 949 County Road 50,Essex,Miscellaneous Communal,Windsor,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,1,mg/L,mon avg,1,1.03,1.03,Operational Process Modification,Assessment Complete - No Action Required
2596351 Ontario Ltd.,Epping Forest Trailer Park,50 - 949 County Road 50,Essex,Miscellaneous Communal,Windsor,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-08-01,2020-08-31,1,mg/L,mon avg,1,1.21,1.21,Operational Process Modification,Assessment Complete - No Action Required
Boundary Road Development Inc.,Boundary Road Distribution Centre,5225 Boundary Rd,Ottawa,Miscellaneous Communal,Ottawa,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-09-01,2020-09-30,1,mg/L,mon avg,1,1.09,1.09,Additional Monitoring Underway; Operational Process Modification,Assessment Complete - No Action Required
Burleigh Falls Inn & Suites Inc.,Burleigh Falls Inn & Suites,4791 Hwy 28 Burleigh Falls,North Kawartha,Miscellaneous Communal,Peterborough,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-03,2020-12-03,4,mg/L,/d,1,12.3,12.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved
Burleigh Falls Inn & Suites Inc.,Burleigh Falls Inn & Suites,4791 Hwy 28 Burleigh Falls,North Kawartha,Miscellaneous Communal,Peterborough,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-08,2020-12-08,4,mg/L,/d,1,14.2,14.2,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved
Burleigh Falls Inn & Suites Inc.,Burleigh Falls Inn & Suites,4791 Hwy 28 Burleigh Falls,North Kawartha,Miscellaneous Communal,Peterborough,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-15,2020-12-15,4,mg/L,/d,1,11.5,11.5,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved
Burleigh Falls Inn & Suites Inc.,Burleigh Falls Inn & Suites,4791 Hwy 28 Burleigh Falls,North Kawartha,Miscellaneous Communal,Peterborough,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-22,2020-12-22,4,mg/L,/d,1,5.4,5.4,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved
Canadian Shield Consultants Agency Inc.,IAMGOLD - Cote Gold Project,3 Mesomikenda Lake Rd,Chester,Miscellaneous Communal,Timmins,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-05-12,2020-05-12,25,mg/L,mon avg,1,49,49,Action Plan Submitted - Implementing Improvements,Assessment Complete - Incident Resolved
Canadian Shield Consultants Agency Inc.,IAMGOLD - Cote Gold Project,3 Mesomikenda Lake Rd,Chester,Miscellaneous Communal,Timmins,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-05-12,2020-05-12,25,mg/L,mon avg,1,109,109,Action Plan Submitted - Implementing Improvements,Assessment Complete - Incident Resolved
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-11-10,2020-11-10,25,mg/L,any,1,38.9,38.9,Operational Process Modification,Assessment Complete - No Action Required
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-11-10,2020-11-10,25,mg/L,any,2,31.5,31.5,Operational Process Modification,Assessment Complete - No Action Required
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-11-10,2020-11-10,25,mg/L,any,1,36.8,36.8,Operational Process Modification,Assessment Complete - No Action Required
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,2020-11-10,2020-11-10,25,mg/L, /wk,1,83.9,83.9,Operational Process Modification,Assessment Complete - No Action Required
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-11-10,2020-11-10,200,CT/100 mL,mon avg. on a geo. mean density,1,565,565,Operational Process Modification,Assessment Complete - No Action Required
Canadian Shield Consultants Agency Inc.,Little Long Generating Station,Little Long Generating Station,Kapuskasing,Miscellaneous Communal,Timmins,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-11-10,2020-11-10,25,mg/L,any,1,36,36,Operational Process Modification,Assessment Complete - No Action Required
CAPREIT Apartments Inc.,Sunny Creek Estates,63 Whites Rd,Quinte West,Miscellaneous Communal,Peterborough,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-06-01,2020-06-30,15,mg/L,mon avg,1,31.6,31.6,Additional Monitoring Underway,Assessment Complete - Incident Resolved
Castle Amalco Inc. c/o Sun Communities Inc.,37-38 Lake Avenue Lane,37-38 Lake Avenue Lane,Prince Edward,Miscellaneous Communal,Belleville,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-07-01,2020-07-31,100,CT/100 mL,mon avg. on a geo. mean density,1,1404,1404,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
Castle Amalco Inc. c/o Sun Communities Inc.,37-38 Lake Avenue Lane,37-38 Lake Avenue Lane,Prince Edward,Miscellaneous Communal,Belleville,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,0.3,mg/L,mon avg,1,9.1,9.1,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
Castle Amalco Inc. c/o Sun Communities Inc.,37-38 Lake Avenue Lane,37-38 Lake Avenue Lane,Prince Edward,Miscellaneous Communal,Belleville,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-07-01,2020-07-31,10,mg/L,mon avg,1,46,46,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
