Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
AGRIVILLE FARMS LTD,AGRIVILLE FARMS LTD.,"1600 Kratz Road
Town of Kingsville, County of Essex",KINGSVILLE,Miscellaneous Industrial,Windsor Area Office,ZINC,Approval/Permit Non-Compliance,03/01/2023,03/31/2023,0.1,mg/L,4 mon rolling avg,1,1,1,Other,Other Action Taken
AGRIVILLE FARMS LTD,AGRIVILLE FARMS LTD.,"1600 Kratz Road
Town of Kingsville, County of Essex",KINGSVILLE,Miscellaneous Industrial,Windsor Area Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,0.5,mg/L,4 mon rolling avg,1,1.3345,1.3345,Additional Monitoring Underway,Voluntary Compliance Underway
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,Acute Lethality - Rainbow Trout,Approval/Permit Non-Compliance,03/21/2023,03/21/2023,0,acute toxicity,quarterly,1,1,1,Other,Penalty Order
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,Acute Lethality - DAPHNIA MAGNA,Approval/Permit Non-Compliance,12/20/2023,12/20/2023,0,acute toxicity,quarterly,1,1,1,Other,Penalty Order
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,THALLIUM,Approval/Permit Non-Compliance,08/01/2023,08/31/2023,0.0003,mg/L,mon avg,1,0.001475,0.001475,None Required,Assessment Complete - No action required
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,TEMPERATURE,Approval/Permit Non-Compliance,08/18/2023,08/18/2023,30,°C,/day,1,30.75,30.75,None Required,Assessment Complete - No action required
ARLANXEO CANADA INC.,ARLANXEO East Site,"500 KENNY ST, SARNIA, ON ",SARNIA,Inorganic Chemicals,Sarnia District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,07/13/2023,07/13/2023,807,kg/d,/day,1,2150,2150,Resolved w/o Actions Required,Event Resolved
ONTARIO POWER GENERATION INC.,Atikokan Generating Station,"ATIKOKAN GENERATING STATION HIGHWAY 622, ATIKOKAN, ON P0T 1C0",ATIKOKAN,Electric Power Generation,Thunder Bay District Office,Acute Lethality - DAPHNIA MAGNA,Approval/Permit Non-Compliance,02/13/2023,02/13/2023,0,acute toxicity,any,1,1,1,Conducting Study,Assessment Underway
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,Acute Lethality - Rainbow Trout,Approval/Permit Non-Compliance,05/01/2023,05/01/2023,0,acute toxicity,any,1,1,1,Conducting Study,Other Action Taken
THOMAS CAVANAGH CONSTRUCTION LIMITED,Bourne Quarry - Cavanagh,"LOT:16, CONCESSION:2, GEOTOWNSHIP:BECKWITH, BECKWITH, ON ",BECKWITH,Industrial Minerals,Ottawa District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,06/12/2023,06/12/2023,25,mg/L,/mon,1,66,66,Operational Process Modified,Voluntary Compliance Underway
